,城市,区域,链接
101,安徽,迎江,/yingjiangqu/
102,安徽,宜秀,/yixiuqu/
103,安徽,大观,/daguanqu/
104,安徽,蚌埠,/bengbu/
105,安徽,怀远,/huaiyuan/
106,安徽,固镇,/guzhen/
107,安徽,五河,/wuhe/
108,安徽,龙子湖,/longzihu/
109,安徽,禹会,/yuhuiqu/
110,安徽,淮上,/huaishangqu/
111,安徽,蚌山,/bengshanqu/
112,安徽,亳州,/bozhou2/
113,安徽,涡阳,/guoyang/
114,安徽,利辛,/lixin/
115,安徽,蒙城,/mengcheng/
116,安徽,谯城,/qiaochengqu/
117,安徽,巢湖,/chaohu/
118,安徽,庐江,/lujiang/
119,安徽,无为,/wuwei1/
120,安徽,含山,/hanshan/
121,安徽,和县,/hexian/
122,安徽,池州,/chizhou/
123,安徽,东至,/dongzhi/
124,安徽,青阳,/qingyang1/
125,安徽,九华山,/jiuhuashan/
126,安徽,石台,/shitai/
127,安徽,贵池,/guichiqu/
128,安徽,滁州,/chuzhou1/
129,安徽,凤阳,/fengyang/
130,安徽,明光,/mingguang/
131,安徽,定远,/dingyuan/
132,安徽,全椒,/quanjiao/
133,安徽,来安,/laian/
134,安徽,天长,/tianchang/
135,安徽,琅琊,/langyaqu/
136,安徽,南谯,/nanqiaoqu/
137,安徽,阜阳,/fuyang1/
138,安徽,阜南,/funan/
139,安徽,颍上,/yingshang/
140,安徽,临泉,/linquan/
141,安徽,界首,/jieshou/
142,安徽,太和,/taihe/
143,安徽,颍州,/yingzhouqu/
144,安徽,颍泉,/yingquanqu/
145,安徽,颍东,/yingdongqu/
146,安徽,合肥,/hefei/
147,安徽,长丰,/changfeng/
148,安徽,肥东,/feidong/
149,安徽,肥西,/feixi/
150,安徽,庐阳,/luyang/
151,安徽,居巢,/juchaoqu/
152,安徽,瑶海,/yaohai/
153,安徽,包河,/baohequ/
154,安徽,蜀山,/shushanqu/
155,安徽,淮北,/huaibei/
156,安徽,濉溪,/suixi/
157,安徽,烈山,/lieshan/
158,安徽,杜集,/dujiqu/
159,安徽,相山,/xiangshanqu/
160,安徽,淮南,/huainan/
161,安徽,凤台,/fengtai1/
162,安徽,潘集,/panji/
163,安徽,大通,/datongqu/
164,安徽,谢家集,/xiejiajiqu/
165,安徽,田家庵,/tianjiaanqu/
166,安徽,八公山,/bagong-mountainqu/
167,安徽,黄山,/huangshan/
168,安徽,黄山区,/huangshanqu/
169,安徽,屯溪,/tunxi/
170,安徽,祁门,/qimen/
171,安徽,黟县,/yixian2/
172,安徽,歙县,/shexian2/
173,安徽,休宁,/xiuning/
174,安徽,黄山风景,/huangshanfengjingqu/
175,安徽,徽州,/huizhouqu/
176,安徽,六安,/luan/
177,安徽,霍邱,/huoqiu/
178,安徽,寿县,/shouxian/
179,安徽,叶集,/yejiqu/
180,安徽,金寨,/jinzhai/
181,安徽,霍山,/huoshan/
182,安徽,舒城,/shucheng/
183,安徽,裕安,/yuan/
184,安徽,金安,/jinanqu/
185,安徽,马鞍山,/maanshan/
186,安徽,当涂,/dangtu/
187,安徽,雨山,/yushanqu/
188,安徽,金家庄,/jinjiazhuangqu/
189,安徽,花山,/huashanqu/
190,安徽,博望,/bowang/
191,安徽,宿州,/suzhou1/
192,安徽,砀山,/dangshan/
193,安徽,灵璧,/lingbi/
194,安徽,泗县,/sixian/
195,安徽,萧县,/xiaoxian/
196,安徽,埇桥,/yongqiaoqu/
197,安徽,铜陵,/tongling/
198,安徽,铜官山,/tongguanshanqu/
199,安徽,狮子山,/shizishanqu/
200,安徽,铜陵,/tonglingjiaoqu/
201,安徽,铜官,/tongguanqu/
202,安徽,义安,/yianqu/
203,安徽,芜湖,/wuhu/
204,安徽,繁昌,/fanchang/
205,安徽,芜湖,/wuhuxian/
206,安徽,南陵,/nanling/
207,安徽,鸠江,/jiujiangqu/
208,安徽,镜湖,/jinghuqu/
209,安徽,弋江,/yijiangqu/
210,安徽,三山,/sanshanqu/
211,安徽,宣城,/xuancheng/
212,安徽,泾县,/jingxian1/
213,安徽,旌德,/jingde/
214,安徽,宁国,/ningguo/
215,安徽,绩溪,/jixi1/
216,安徽,广德,/guangde/
217,安徽,郎溪,/langxi/
218,安徽,宣州,/xuanzhouqu/
219,福建,钓鱼岛,/diaoyudao/
220,福建,福州,/fuzhou/
221,福建,闽清,/minqing/
222,福建,闽侯,/minhou/
223,福建,罗源,/luoyuan/
224,福建,连江,/lianjiang/
225,福建,永泰,/yongtai/
226,福建,平潭,/pingtan/
227,福建,长乐,/changle1/
228,福建,福清,/fuqing/
229,福建,晋安,/jinan1/
230,福建,仓山,/cangshanqu/
231,福建,台江,/taijiangqu/
232,福建,马尾,/maweiqu/
233,福建,龙岩,/longyan/
234,福建,长汀,/changting/
235,福建,连城,/liancheng/
236,福建,武平,/wuping/
237,福建,上杭,/shanghang/
238,福建,永定,/yongding/
239,福建,漳平,/zhangping/
240,福建,新罗,/xinluoqu/
241,福建,南平,/nanping/
242,福建,顺昌,/shunchang/
243,福建,光泽,/guangze/
244,福建,邵武,/shaowu/
245,福建,武夷山,/wuyishan/
246,福建,浦城,/pucheng1/
247,福建,建阳,/jianyang/
248,福建,松溪,/songxi/
249,福建,政和,/zhenghe/
250,福建,建瓯,/jianou/
251,福建,延平,/yanping/
252,福建,宁德,/ningde/
253,福建,古田,/gutian/
254,福建,霞浦,/xiapu/
255,福建,寿宁,/shouning/
256,福建,周宁,/zhouning/
257,福建,福安,/fuan/
258,福建,柘荣,/zherong/
259,福建,福鼎,/fuding/
260,福建,屏南,/pingnan/
261,福建,蕉城,/jiaochengqu/
262,福建,莆田,/putian/
263,福建,仙游,/xianyou/
264,福建,秀屿港,/xiuyugang/
265,福建,涵江,/hanjiang/
266,福建,秀屿,/xiuyu/
267,福建,荔城,/licheng1/
268,福建,城厢,/chengxiang/
269,福建,泉州,/quanzhou/
270,福建,安溪,/anxi/
271,福建,永春,/yongchun/
272,福建,德化,/dehua/
273,福建,南安,/nanan/
274,福建,崇武,/chongwu/
275,福建,惠安,/huian/
276,福建,晋江,/jinjiang/
277,福建,石狮,/shishi/
278,福建,鲤城,/lichengqu/
279,福建,丰泽,/fengzequ/
280,福建,泉港,/quangangqu/
281,福建,洛江,/luojiangqu1/
282,福建,金门,/jinmen/
283,福建,三明,/sanming/
284,福建,宁化,/ninghua/
285,福建,清流,/qingliu/
286,福建,泰宁,/taining/
287,福建,将乐,/jiangle/
288,福建,建宁,/jianning/
289,福建,明溪,/mingxi/
290,福建,沙县,/shaxian1/
291,福建,尤溪,/youxi/
292,福建,永安,/yongan/
293,福建,大田,/datian/
294,福建,三元,/sanyuanqu/
295,福建,梅列,/meiliequ/
296,福建,厦门,/xiamen/
297,福建,同安,/tongan/
298,福建,集美,/jimeiqu/
299,福建,湖里,/huli/
300,福建,海沧,/haicangqu/
301,福建,思明,/simingqu/
302,福建,翔安,/xianganqu/
303,福建,漳州,/zhangzhou/
304,福建,长泰,/changtai/
305,福建,南靖,/nanjing2/
306,福建,平和,/pinghe/
307,福建,龙海,/longhai/
308,福建,漳浦,/zhangpu/
309,福建,诏安,/zhaoan/
310,福建,东山,/dongshan/
311,福建,云霄,/yunxiao/
312,福建,华安,/huaan/
313,福建,龙文,/longwen/
314,福建,芗城,/zhangzhouxiangcheng/
315,甘肃,白银,/baiyin/
316,甘肃,靖远,/jingyuan/
317,甘肃,会宁,/huining/
318,甘肃,平川,/pingchuan/
319,甘肃,景泰,/jingtai/
320,甘肃,白银区,/baiyinqu/
321,甘肃,定西,/dingxi/
322,甘肃,通渭,/tongwei/
323,甘肃,陇西,/longxi/
324,甘肃,渭源,/weiyuan/
325,甘肃,临洮,/lintao/
326,甘肃,漳县,/zhangxian/
327,甘肃,岷县,/minxian/
328,甘肃,安定,/anding/
329,甘肃,甘南州,/gannan/
330,甘肃,合作,/hezuo/
331,甘肃,临潭,/lintan/
332,甘肃,卓尼,/zhuoni/
333,甘肃,舟曲,/zhouqu/
334,甘肃,迭部,/diebu/
335,甘肃,玛曲,/maqu/
336,甘肃,碌曲,/luqu/
337,甘肃,夏河,/xiahe/
338,甘肃,嘉峪关,/jiayuguan/
339,甘肃,金昌,/jinchang/
340,甘肃,永昌,/yongchang/
341,甘肃,金川,/jinchuanqu/
342,甘肃,酒泉,/jiuquan/
343,甘肃,金塔,/jinta/
344,甘肃,阿克塞,/akesai/
345,甘肃,瓜州,/guazhou/
346,甘肃,肃北,/subei/
347,甘肃,玉门,/yumen/
348,甘肃,敦煌,/dunhuang/
349,甘肃,肃州,/suzhouqu/
350,甘肃,兰州,/lanzhou/
351,甘肃,皋兰,/gaolan/
352,甘肃,永登,/yongdeng/
353,甘肃,榆中,/yuzhong/
354,甘肃,城关,/chengguan/
355,甘肃,七里河,/qilihe/
356,甘肃,西固,/xiguqu/
357,甘肃,安宁,/anningqu/
358,甘肃,红古,/honggu/
359,甘肃,临夏州,/linxia/
360,甘肃,康乐,/kangle/
361,甘肃,永靖,/yongjing/
362,甘肃,广河,/guanghe/
363,甘肃,和政,/hezheng/
364,甘肃,东乡族,/dongxiang/
365,甘肃,积石山,/jishishan/
366,甘肃,临夏县,/linxiaxian/
367,甘肃,陇南,/longnan1/
368,甘肃,武都,/wudu/
369,甘肃,成县,/chengxian/
370,甘肃,文县,/wenxian/
371,甘肃,宕昌,/dangchang/
372,甘肃,康县,/kangxian/
373,甘肃,西和,/xihe/
374,甘肃,礼县,/lixian1/
375,甘肃,徽县,/huixian/
376,甘肃,两当,/liangdang/
377,甘肃,平凉,/pingliang/
378,甘肃,泾川,/jingchuan/
379,甘肃,灵台,/lingtai/
380,甘肃,崇信,/chongxin/
381,甘肃,华亭,/huating/
382,甘肃,庄浪,/zhuanglang/
383,甘肃,静宁,/jingning/
384,甘肃,崆峒,/kongtong/
385,甘肃,庆阳,/qingyang/
386,甘肃,西峰,/xifeng1/
387,甘肃,环县,/huanxian/
388,甘肃,华池,/huachi/
389,甘肃,合水,/heshui/
390,甘肃,正宁,/zhengning/
391,甘肃,宁县,/ningxian/
392,甘肃,镇原,/zhenyuan/
393,甘肃,庆城,/qingcheng/
394,甘肃,天水,/tianshui/
395,甘肃,清水,/qingshui/
396,甘肃,秦安,/qinan/
397,甘肃,甘谷,/gangu/
398,甘肃,武山,/wushan1/
399,甘肃,张家川,/zhangjiachuan/
400,甘肃,麦积,/maiji/
401,甘肃,秦州,/qinzhouqu/
402,甘肃,武威,/wuwei/
403,甘肃,民勤,/minqin/
404,甘肃,古浪,/gulang/
405,甘肃,天祝,/tianzhu/
406,甘肃,凉州,/liangzhouqu/
407,甘肃,张掖,/zhangye/
408,甘肃,肃南,/sunan/
409,甘肃,民乐,/minle/
410,甘肃,临泽,/linze/
411,甘肃,高台,/gaotai/
412,甘肃,山丹,/shandan/
413,甘肃,甘州,/ganzhouqu/
414,广东,潮州,/chaozhou/
415,广东,饶平,/raoping/
416,广东,潮安,/chaoan/
417,广东,湘桥,/xiangqiaoqu/
418,广东,东莞,/dongguan/
419,广东,佛山,/foshan/
420,广东,顺德,/shunde/
421,广东,三水,/sanshui/
422,广东,南海,/nanhai/
423,广东,高明,/gaoming/
424,广东,禅城,/chanchengqu/
425,广东,广州,/guangzhou/
426,广东,番禺,/panyu/
427,广东,从化,/conghua/
428,广东,增城,/zengcheng/
429,广东,花都,/huadu/
430,广东,萝岗,/luogang/
431,广东,荔湾,/liwan/
432,广东,越秀,/yuexiuqu/
433,广东,黄埔,/huangpuqu/
434,广东,海珠,/haizhuqu/
435,广东,天河,/tianhequ/
436,广东,南沙,/nanshaqu/
437,广东,白云,/baiyun/
438,广东,河源,/heyuan/
439,广东,紫金,/zijin/
440,广东,连平,/lianping/
441,广东,和平,/heping/
442,广东,龙川,/longchuan/
443,广东,东源,/dongyuan/
444,广东,源城,/yuanchengqu/
445,广东,惠州,/huizhou/
446,广东,博罗,/boluo/
447,广东,惠阳,/huiyang/
448,广东,惠东,/huidongxian/
449,广东,龙门,/longmen/
450,广东,惠城,/huichengqu/
451,广东,江门,/jiangmen/
452,广东,开平,/kaiping/
453,广东,新会,/xinhui/
454,广东,恩平,/enping/
455,广东,台山,/taishan/
456,广东,蓬江,/pengjiang/
457,广东,鹤山,/heshan/
458,广东,江海,/jianghai/
459,广东,揭阳,/jieyang/
460,广东,揭西,/jiexi/
461,广东,普宁,/puning/
462,广东,惠来,/huilai/
463,广东,揭东,/jiedong/
464,广东,榕城,/rongchengqu/
465,广东,茂名,/maoming/
466,广东,高州,/gaozhou/
467,广东,化州,/huazhou/
468,广东,电白,/dianbai/
469,广东,信宜,/xinyishi/
470,广东,茂港,/maogang/
471,广东,茂南,/maonanqu/
472,广东,梅州,/meizhou/
473,广东,兴宁,/xingningshi/
474,广东,蕉岭,/jiaoling/
475,广东,大埔,/dabu/
476,广东,丰顺,/fengshun/
477,广东,平远,/pingyuanxian/
478,广东,五华,/wuhua/
479,广东,梅县,/meixian1/
480,广东,梅江,/meijiangqu/
481,广东,清远,/qingyuan3/
482,广东,连南,/liannan/
483,广东,连州,/lianzhou/
484,广东,连山,/lianshan/
485,广东,阳山,/yangshan/
486,广东,佛冈,/fogang/
487,广东,英德,/yingde/
488,广东,清新,/qingxin/
489,广东,清城,/qingchengqu/
490,广东,汕头,/shantou/
491,广东,潮阳,/chaoyang2/
492,广东,澄海,/chenghai/
493,广东,南澳,/nanao/
494,广东,龙湖,/longhu/
495,广东,金平,/jinpingqu/
496,广东,濠江,/haojiangqu/
497,广东,潮南,/chaonanqu/
498,广东,汕尾,/shanwei/
499,广东,海丰,/haifeng/
500,广东,陆丰,/lufeng/
501,广东,陆河,/luhe/
502,广东,城区,/chengqu/
503,广东,韶关,/shaoguan/
504,广东,乳源,/ruyuan/
505,广东,始兴,/shixing/
506,广东,翁源,/wengyuan/
507,广东,乐昌,/lechang/
508,广东,仁化,/renhua/
509,广东,南雄,/nanxiong/
510,广东,新丰,/xinfengxian/
511,广东,曲江,/qujiang/
512,广东,浈江,/zhenjiang1/
513,广东,武江,/wujiang1/
514,广东,深圳,/shenzhen/
515,广东,罗湖,/luohu/
516,广东,龙岗,/longgang/
517,广东,盐田,/yantianqu/
518,广东,南山,/nanshanqu/
519,广东,福田,/futianqu/
520,广东,宝安,/baoanqu/
521,广东,龙华,/longhuaqu/
522,广东,坪山,/pingshan1/
523,广东,光明,/guangming/
524,广东,阳江,/yangjiang/
525,广东,阳春,/yangchun/
526,广东,阳东,/yangdong/
527,广东,阳西,/yangxi/
528,广东,江城,/jiangchengqu/
529,广东,云浮,/yunfu/
530,广东,罗定,/luoding/
531,广东,新兴,/xinxing/
532,广东,郁南,/yunan/
533,广东,云安,/yunan1/
534,广东,云城,/yunchengqu/
535,广东,湛江,/zhanjiang/
536,广东,吴川,/wuchuanshi/
537,广东,雷州,/leizhou/
538,广东,徐闻,/xuwen/
539,广东,廉江,/lianjiangshi/
540,广东,赤坎,/chikan/
541,广东,遂溪,/suixixian/
542,广东,坡头,/potou/
543,广东,霞山,/xiashan/
544,广东,麻章,/mazhang/
545,广东,肇庆,/zhaoqing/
546,广东,广宁,/guangning/
547,广东,四会,/sihui/
548,广东,德庆,/deqingxian/
549,广东,怀集,/huaiji/
550,广东,封开,/fengkai/
551,广东,高要,/gaoyao/
552,广东,端州,/duanzhouqu/
553,广东,鼎湖,/dinghuqu/
554,广东,中山,/zhongshan/
555,广东,珠海,/zhuhai/
556,广东,斗门,/doumen/
557,广东,金湾,/jinwan/
558,广东,香洲,/xiangzhouqu/
559,广西,百色,/baise/
560,广西,那坡,/napo/
561,广西,田阳,/tianyang/
562,广西,德保,/debao/
563,广西,靖西,/jingxishi/
564,广西,田东,/tiandongxian/
565,广西,平果,/pingguoxian/
566,广西,隆林,/longlin/
567,广西,西林,/xilinxian/
568,广西,乐业,/leye/
569,广西,凌云,/lingyunxian/
570,广西,田林,/tianlinxian/
571,广西,右江,/youjiang/
572,广西,隆林各族,/longlinqu/
573,广西,北海,/beihai/
574,广西,合浦,/hepu/
575,广西,涠洲岛,/weizhoudao/
576,广西,银海,/yinhai/
577,广西,铁山港,/tieshangang/
578,广西,海城,/hai cheng/
579,广西,崇左,/chongzuo/
580,广西,天等,/tiandeng/
581,广西,龙州,/longzhou/
582,广西,凭祥,/pingxiangshi/
583,广西,大新,/daxin/
584,广西,扶绥,/fusui/
585,广西,宁明,/ningming/
586,广西,江州,/jiangzhou/
587,广西,江州,/jaingzhou/
588,广西,防城港,/fangchenggang/
589,广西,上思,/shangsi/
590,广西,东兴,/dongxingshi/
591,广西,防城,/fangchengqu/
592,广西,港口,/gangkou/
593,广西,贵港,/guigang/
594,广西,桂平,/guipingshi/
595,广西,平南,/pingnanxian/
596,广西,港北,/gangbei/
597,广西,港南,/gangnan/
598,广西,覃塘,/tantangqu/
599,广西,桂林,/guilin/
600,广西,龙胜,/longsheng/
601,广西,永福,/yongfu/
602,广西,临桂,/linguiqu/
603,广西,兴安,/xinganxian/
604,广西,灵川,/lingchuanxian/
605,广西,全州,/quanzhouxian/
606,广西,灌阳,/guanyang/
607,广西,阳朔,/yangshuo/
608,广西,恭城,/gongcheng/
609,广西,平乐,/pingle/
610,广西,荔浦,/lipu/
611,广西,资源,/ziyuan/
612,广西,秀峰,/xiufeng/
613,广西,叠彩,/diecai/
614,广西,七星,/qixing/
615,广西,雁山,/yanshanqu/
616,广西,龙胜各族,/longshenggezuzizhixian/
617,广西,恭城瑶族,/gongchengqu/
618,广西,桂林象山,/guilinxiangshan/
619,广西,河池,/hechi/
620,广西,天峨,/tiane/
621,广西,东兰,/donglan/
622,广西,巴马,/bama/
623,广西,环江,/huanjiang/
624,广西,罗城,/luocheng/
625,广西,宜州,/yizhoushi/
626,广西,凤山,/fengshan/
627,广西,南丹,/nandan/
628,广西,都安,/andu/
629,广西,大化,/dahua/
630,广西,金城江,/jinchengjiang/
631,广西,贺州,/hezhou/
632,广西,昭平,/zhaoping/
633,广西,富川,/fuchuan/
634,广西,钟山,/zhongshanxian/
635,广西,八步,/babu/
636,广西,平桂区,/pingguiqu/
637,广西,昭平,/zhaopingqu/
638,广西,都安瑶族,/duan/
639,广西,平桂,/pinggui/
640,广西,来宾,/laibin/
641,广西,忻城,/xicheng/
642,广西,金秀,/jinxiu/
643,广西,象州,/xiangzhou/
644,广西,武宣,/wuxuan/
645,广西,合山,/heshanshi/
646,广西,兴宾,/xingbin/
647,广西,柳州,/liuzhou/
648,广西,柳城,/liucheng/
649,广西,鹿寨,/luzhai/
650,广西,柳江,/liujiangqu/
651,广西,融安,/rongan/
652,广西,融水,/rongshuixian/
653,广西,三江,/sanjiang/
654,广西,城中,/chengzhongqu/
655,广西,鱼峰,/yufengqu/
656,广西,柳南,/liunanqu/
657,广西,柳北,/liubeiqu/
658,广西,南宁,/nanning/
659,广西,兴宁,/xingning/
660,广西,邕宁,/yongningqu/
661,广西,横县,/hengxian/
662,广西,隆安,/longan/
663,广西,马山,/mashan/
664,广西,上林,/shanglin/
665,广西,武鸣,/wumingqu/
666,广西,宾阳,/binyang/
667,广西,青秀,/qingxiu/
668,广西,西乡塘,/xixiangtang/
669,广西,良庆,/liangqing/
670,广西,江南,/jiangnan/
671,广西,钦州,/qinzhou/
672,广西,浦北县,/pubeixian/
673,广西,灵山,/lingshan/
674,广西,钦南,/qinnan/
675,广西,钦北,/qinbei/
676,广西,浦北,/pubei/
677,广西,梧州,/wuzhou/
678,广西,藤县,/tengxian/
679,广西,苍梧,/cangwu/
680,广西,蒙山,/mengshan/
681,广西,岑溪,/cenxishi/
682,广西,长洲,/changzhouqu/
683,广西,万秀,/wanxiuqu/
684,广西,龙圩,/longweiqu/
685,广西,玉林,/yulin1/
686,广西,博白,/bobai/
687,广西,北流,/beiliushi/
688,广西,容县,/rongxian/
689,广西,陆川,/luchuanxian/
690,广西,兴业,/xingye/
691,广西,玉州,/yuzhouqu/
692,广西,福绵,/fumian/
693,贵州,安顺,/anshun/
694,贵州,普定,/puding/
695,贵州,镇宁,/zhenning/
696,贵州,平坝,/pingba/
697,贵州,紫云,/ziyun/
698,贵州,关岭,/guanling/
699,贵州,西秀,/xixiuqu/
700,贵州,毕节,/bijie/
701,贵州,赫章,/hezhang/
702,贵州,金沙,/jinsha/
703,贵州,威宁,/weining/
704,贵州,大方,/dafang/
705,贵州,纳雍,/nayong/
706,贵州,织金,/zhijin/
707,贵州,黔西,/qianxi1/
708,贵州,七星关,/qixingguan/
709,贵州,贵阳,/guiyang1/
710,贵州,白云,/guiyangbaiyun/
711,贵州,花溪,/huaxi/
712,贵州,乌当,/wudang/
713,贵州,息烽,/xifeng2/
714,贵州,开阳,/kaiyang/
715,贵州,修文,/xiuwen/
716,贵州,清镇,/qingzhen/
717,贵州,小河,/xiaohe/
718,贵州,云岩,/yunyan/
719,贵州,南明,/nanming/
720,贵州,观山湖,/guanshanhu/
721,贵州,六盘水,/liupanshui/
722,贵州,水城,/shuicheng/
723,贵州,六枝,/liuzhi/
724,贵州,盘县,/panxian/
725,贵州,钟山,/zhongshanqu/
726,贵州,黔东南,/qiandongnan/
727,贵州,凯里,/kaili/
728,贵州,岑巩,/cengong/
729,贵州,施秉,/shibing/
730,贵州,镇远,/zhenyuan1/
731,贵州,黄平,/huangping/
732,贵州,麻江,/majiang/
733,贵州,丹寨,/danzhai/
734,贵州,三穗,/sansui/
735,贵州,台江,/taijiang/
736,贵州,剑河,/jianhe/
737,贵州,雷山,/leishan/
738,贵州,黎平,/liping/
739,贵州,天柱,/tianzhu1/
740,贵州,锦屏,/jinping/
741,贵州,榕江,/rongjiang/
742,贵州,从江,/congjiang/
743,贵州,黔南州,/qiannan/
744,贵州,都匀,/duyun/
745,贵州,贵定,/guiding/
746,贵州,瓮安,/wengan/
747,贵州,长顺,/changshun/
748,贵州,福泉,/fuquan/
749,贵州,惠水,/huishui/
750,贵州,龙里,/longli/
751,贵州,罗甸,/luodian/
752,贵州,平塘,/pingtang/
753,贵州,独山,/dushan/
754,贵州,三都,/sandu/
755,贵州,荔波,/libo/
756,贵州,黔西南,/qianxinan/
757,贵州,兴义,/xingyi1/
758,贵州,晴隆,/qinglong1/
759,贵州,兴仁,/xingren/
760,贵州,贞丰,/zhenfeng/
761,贵州,望谟,/wangmo/
762,贵州,安龙,/anlong/
763,贵州,册亨,/ceheng/
764,贵州,普安,/puan/
765,贵州,铜仁,/tongren/
766,贵州,江口,/jiangkou/
767,贵州,玉屏,/yuping/
768,贵州,万山,/wanshan/
769,贵州,思南,/sinan/
770,贵州,印江,/yinjiang/
771,贵州,石阡,/shiqian/
772,贵州,沿河,/yanhe/
773,贵州,德江,/dejiang/
774,贵州,松桃,/songtao/
775,贵州,遵义,/zunyi/
776,贵州,碧江,/bijiangqu/
777,贵州,仁怀,/renhuai/
778,贵州,绥阳,/suiyang/
779,贵州,湄潭,/meitan/
780,贵州,凤冈,/fenggang/
781,贵州,桐梓,/tongzi/
782,贵州,赤水,/chishui/
783,贵州,习水,/xishui1/
784,贵州,道真,/daozhen/
785,贵州,正安,/zhengan/
786,贵州,务川,/wuchuan1/
787,贵州,余庆,/yuqing/
788,贵州,汇川,/huichuan/
789,贵州,红花岗,/honghuagang/
790,贵州,播州,/bozhouqu/
791,海南,白沙,/baisha/
792,海南,保亭黎族苗族,/baotinglizumiaozu/
793,海南,昌江,/changjiang/
794,海南,澄迈,/chengmai/
795,海南,儋州,/danzhou/
796,海南,洋浦,/yangpu/
797,海南,定安,/dingan/
798,海南,东方,/dongfang/
799,海南,海口,/haikou/
800,海南,琼山,/qiongshan/
801,海南,龙华,/longhua1/
802,海南,秀英,/xiuying/
803,海南,美兰,/meilan/
804,海南,乐东黎族,/ledong/
805,海南,临高,/lingao/
806,海南,陵水,/lingshui/
807,海南,南沙岛,/nanshadao/
808,海南,琼海,/qionghai/
809,海南,琼中,/qiongzhong/
810,海南,三沙,/sansha/
811,海南,三亚,/sanya/
812,海南,海棠,/haitangqu/
813,海南,吉阳,/jiyangqu/
814,海南,天涯,/tianyaqu/
815,海南,崖州,/yazhouqu/
816,海南,屯昌,/tunchang/
817,海南,万宁,/wanning/
818,海南,文昌,/wenchang/
819,海南,五指山,/wuzhishan/
820,海南,西沙,/xisha/
821,河北,保定,/baoding/
822,河北,满城,/mancheng/
823,河北,阜平,/fuping/
824,河北,徐水,/xushui/
825,河北,唐县,/tangxian/
826,河北,高阳,/gaoyang/
827,河北,容城,/rongcheng/
