省,市,日期,星期,最高温度,最低温度,天气,风向风力
北京,海淀,2011-02-06,  ,9℃,-2℃,晴~多云,无持续风向 微风
北京,海淀,2011-02-07,  ,5℃,-3℃,阴~多云,无持续风向 微风
北京,海淀,2011-02-08,  ,7℃,-4℃,多云~晴,无持续风向 微风
北京,海淀,2011-02-09,  ,2℃,-2℃,多云~小雪,无持续风向 微风
北京,海淀,2011-02-10,  ,-2℃,-5℃,小雪~晴,无持续风向 微风
北京,海淀,2011-02-11,  ,1℃,-10℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-02-12,  ,-3℃,-6℃,阴~小雪,无持续风向 微风
北京,海淀,2011-02-13,  ,-2℃,-10℃,阴~晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-02-14,  ,1℃,-9℃,晴,无持续风向 微风
北京,海淀,2011-02-15,  ,3℃,-5℃,晴~多云,无持续风向 微风
北京,海淀,2011-02-16,  ,0℃,-5℃,阴~晴,无持续风向 微风
北京,海淀,2011-02-17,  ,6℃,-6℃,晴,无持续风向 微风
北京,海淀,2011-02-18,  ,9℃,-3℃,晴,无持续风向 微风
北京,海淀,2011-02-19,  ,10℃,-3℃,晴,无持续风向 微风
北京,海淀,2011-02-20,  ,8℃,-3℃,多云~晴,无持续风向 微风
北京,海淀,2011-02-21,  ,7℃,-1℃,晴,无持续风向 微风
北京,海淀,2011-02-22,  ,8℃,0℃,多云,无持续风向 微风
北京,海淀,2011-02-23,  ,9℃,3℃,多云,无持续风向 微风
北京,海淀,2011-02-24,  ,11℃,-1℃,晴,无持续风向 微风
北京,海淀,2011-02-25,  ,6℃,-1℃,多云~中雪,无持续风向 微风
北京,海淀,2011-02-26,  ,2℃,-3℃,小雪,无持续风向 微风
北京,海淀,2011-02-27,  ,2℃,-5℃,小雪~阴,无持续风向 微风
北京,海淀,2011-02-28,  ,6℃,-4℃,多云~晴,无持续风向~北风 微风~3-4级
北京,海淀,2011-03-01,  ,5℃,-3℃,多云,无持续风向 微风
北京,海淀,2011-03-02,  ,6℃,-2℃,晴,无持续风向~北风 微风~3-4级
北京,海淀,2011-03-03,  ,9℃,-4℃,晴,无持续风向 微风
北京,海淀,2011-03-04,  ,11℃,0℃,晴~多云,无持续风向 微风
北京,海淀,2011-03-05,  ,13℃,1℃,晴,无持续风向~北风 微风~3-4级
北京,海淀,2011-03-06,  ,10℃,-1℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-03-07,  ,10℃,-1℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-03-08,  ,10℃,-1℃,晴,北风 3-4级
北京,海淀,2011-03-09,  ,11℃,-1℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-03-10,  ,15℃,1℃,晴,无持续风向 微风
北京,海淀,2011-03-11,  ,15℃,3℃,多云~晴,无持续风向 微风
北京,海淀,2011-03-12,  ,17℃,7℃,晴~阴,无持续风向 微风
北京,海淀,2011-03-13,  ,17℃,3℃,多云~晴,北风 4-5级
北京,海淀,2011-03-14,  ,9℃,1℃,多云,北风 3-4级
北京,海淀,2011-03-15,  ,9℃,-2℃,晴,北风 4-5级~3-4级
北京,海淀,2011-03-16,  ,11℃,0℃,晴,无持续风向 微风
北京,海淀,2011-03-17,  ,16℃,5℃,晴~多云,无持续风向 微风
北京,海淀,2011-03-18,  ,14℃,0℃,多云~晴,北风 4-5级~3-4级
北京,海淀,2011-03-19,  ,13℃,3℃,多云,无持续风向 微风
北京,海淀,2011-03-20,  ,13℃,3℃,阴~多云,无持续风向~北风 微风~4-5级
北京,海淀,2011-03-21,  ,7℃,-1℃,晴,北风 4-5级~3-4级
北京,海淀,2011-03-22,  ,10℃,-1℃,晴,无持续风向 微风
北京,海淀,2011-03-23,  ,12℃,1℃,多云~晴,北风 3-4级~4-5级
北京,海淀,2011-03-24,  ,11℃,-1℃,晴,北风~无持续风向 4-5级~微风
北京,海淀,2011-03-25,  ,14℃,0℃,晴,无持续风向 微风
北京,海淀,2011-03-26,  ,15℃,1℃,晴,无持续风向 微风
北京,海淀,2011-03-27,  ,17℃,2℃,晴~多云,无持续风向 微风
北京,海淀,2011-03-28,  ,17℃,4℃,晴,无持续风向 微风
北京,海淀,2011-03-29,  ,19℃,3℃,晴,无持续风向 微风
北京,海淀,2011-03-30,  ,22℃,6℃,晴,无持续风向 微风
北京,海淀,2011-03-31,  ,22℃,7℃,多云~小雨,无持续风向~东北风 微风~3-4级
北京,海淀,2011-04-01,  ,12℃,3℃,小雨,无持续风向 微风
北京,海淀,2011-04-02,  ,13℃,1℃,晴,无持续风向 微风
北京,海淀,2011-04-03,  ,16℃,2℃,晴,无持续风向 微风
北京,海淀,2011-04-04,  ,20℃,5℃,晴,无持续风向 微风
北京,海淀,2011-04-05,  ,19℃,7℃,多云~阴,无持续风向 微风
北京,海淀,2011-04-06,  ,19℃,8℃,多云,无持续风向 微风
北京,海淀,2011-04-07,  ,19℃,5℃,多云~晴,北风 3-4级
北京,海淀,2011-04-08,  ,20℃,7℃,晴~多云,无持续风向 微风
北京,海淀,2011-04-09,  ,22℃,9℃,阴~小雨,无持续风向 微风
北京,海淀,2011-04-10,  ,16℃,3℃,多云~晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-04-11,  ,23℃,7℃,晴,无持续风向 微风
北京,海淀,2011-04-12,  ,26℃,10℃,晴,无持续风向 微风
北京,海淀,2011-04-13,  ,25℃,12℃,多云,无持续风向 微风
北京,海淀,2011-04-14,  ,28℃,15℃,晴~多云,无持续风向 微风
北京,海淀,2011-04-15,  ,24℃,8℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-04-16,  ,25℃,14℃,晴~阴,西南风~北风 3-4级
北京,海淀,2011-04-17,  ,19℃,9℃,晴,北风 5-6级~4-5级
北京,海淀,2011-04-18,  ,21℃,7℃,晴,无持续风向 微风
北京,海淀,2011-04-19,  ,24℃,11℃,晴,无持续风向 微风
北京,海淀,2011-04-20,  ,23℃,16℃,多云~小雨,无持续风向 微风
北京,海淀,2011-04-21,  ,16℃,8℃,小雨~多云,无持续风向 微风
北京,海淀,2011-04-22,  ,20℃,9℃,阴~阵雨,北风~无持续风向 3-4级~微风
北京,海淀,2011-04-23,  ,19℃,9℃,阵雨~晴,无持续风向 微风
北京,海淀,2011-04-24,  ,22℃,11℃,多云,无持续风向 微风
北京,海淀,2011-04-25,  ,16℃,11℃,阴~阵雨,无持续风向 微风
北京,海淀,2011-04-26,  ,20℃,8℃,阵雨~晴,无持续风向 微风
北京,海淀,2011-04-27,  ,22℃,9℃,多云~晴,无持续风向 微风
北京,海淀,2011-04-28,  ,24℃,12℃,晴~阴,无持续风向 微风
北京,海淀,2011-04-29,  ,22℃,10℃,阵雨,无持续风向~北风 微风~3-4级
北京,海淀,2011-04-30,  ,21℃,11℃,阴~晴,北风 5-6级~4-5级
北京,海淀,2011-05-01,  ,26℃,12℃,晴~多云,北风~无持续风向 3-4级~微风
北京,海淀,2011-05-02,  ,26℃,11℃,晴~多云,北风~无持续风向 3-4级~微风
北京,海淀,2011-05-03,  ,24℃,15℃,多云~阵雨,无持续风向 微风
北京,海淀,2011-05-04,  ,18℃,12℃,阵雨,无持续风向 微风
北京,海淀,2011-05-05,  ,21℃,13℃,多云~晴,无持续风向 微风
北京,海淀,2011-05-06,  ,26℃,13℃,晴~多云,无持续风向 微风
北京,海淀,2011-05-07,  ,26℃,15℃,晴~阴,无持续风向 微风
北京,海淀,2011-05-08,  ,22℃,12℃,中雨~小雨,无持续风向 微风
北京,海淀,2011-05-09,  ,26℃,11℃,多云~晴,无持续风向 微风
北京,海淀,2011-05-10,  ,26℃,13℃,多云,无持续风向 微风
北京,海淀,2011-05-11,  ,28℃,12℃,多云,北风 3-4级~5-6级
北京,海淀,2011-05-12,  ,23℃,13℃,晴,北风 4-5级
北京,海淀,2011-05-13,  ,27℃,15℃,晴,北风~无持续风向 4-5级~微风
北京,海淀,2011-05-14,  ,30℃,15℃,晴~多云,无持续风向 微风
北京,海淀,2011-05-15,  ,27℃,14℃,晴,无持续风向 微风
北京,海淀,2011-05-16,  ,28℃,16℃,晴~多云,南风~无持续风向 3-4级~微风
北京,海淀,2011-05-17,  ,29℃,16℃,阴,无持续风向 微风
北京,海淀,2011-05-18,  ,30℃,17℃,雷阵雨,无持续风向 微风
北京,海淀,2011-05-19,  ,25℃,16℃,晴~多云,无持续风向 微风
北京,海淀,2011-05-20,  ,21℃,14℃,多云,无持续风向 微风
北京,海淀,2011-05-21,  ,26℃,12℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-05-22,  ,29℃,15℃,晴,无持续风向 微风
北京,海淀,2011-05-23,  ,30℃,16℃,晴,南风~无持续风向 3-4级~微风
北京,海淀,2011-05-24,  ,28℃,17℃,晴~多云,无持续风向 微风
北京,海淀,2011-05-25,  ,27℃,18℃,多云~阴,南风~无持续风向 3-4级~微风
北京,海淀,2011-05-26,  ,28℃,16℃,阵雨,无持续风向 微风
北京,海淀,2011-05-27,  ,29℃,18℃,晴,无持续风向 微风
北京,海淀,2011-05-28,  ,33℃,21℃,晴~多云,南风~无持续风向 3-4级~微风
北京,海淀,2011-05-29,  ,28℃,16℃,雷阵雨~阵雨,无持续风向 微风
北京,海淀,2011-05-30,  ,30℃,20℃,多云~晴,无持续风向 微风
北京,海淀,2011-05-31,  ,29℃,17℃,阵雨~晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-06-01,  ,32℃,19℃,晴,无持续风向 微风
北京,海淀,2011-06-02,  ,35℃,22℃,多云~阴,无持续风向 微风
北京,海淀,2011-06-03,  ,33℃,20℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-06-04,  ,31℃,21℃,多云,无持续风向 微风
北京,海淀,2011-06-05,  ,33℃,21℃,阴~阵雨,无持续风向 微风
北京,海淀,2011-06-06,  ,32℃,21℃,雷阵雨~晴,无持续风向 微风
北京,海淀,2011-06-07,  ,36℃,21℃,多云~雷阵雨,无持续风向 微风
北京,海淀,2011-06-08,  ,34℃,21℃,晴,无持续风向 微风
北京,海淀,2011-06-09,  ,32℃,22℃,多云,无持续风向 微风
北京,海淀,2011-06-10,  ,32℃,18℃,雷阵雨,无持续风向 微风
北京,海淀,2011-06-11,  ,29℃,17℃,雷阵雨~晴,无持续风向 微风
北京,海淀,2011-06-12,  ,35℃,20℃,晴,无持续风向 微风
北京,海淀,2011-06-13,  ,33℃,21℃,晴~多云,无持续风向 微风
北京,海淀,2011-06-14,  ,33℃,22℃,多云,无持续风向 微风
北京,海淀,2011-06-15,  ,32℃,19℃,雷阵雨~中雨,无持续风向 微风
北京,海淀,2011-06-16,  ,26℃,19℃,雷阵雨,无持续风向 微风
北京,海淀,2011-06-17,  ,29℃,21℃,晴,无持续风向 微风
北京,海淀,2011-06-18,  ,33℃,21℃,晴,无持续风向 微风
北京,海淀,2011-06-19,  ,34℃,22℃,晴,无持续风向 微风
北京,海淀,2011-06-20,  ,34℃,23℃,多云,无持续风向 微风
北京,海淀,2011-06-21,  ,34℃,25℃,多云,无持续风向 微风
北京,海淀,2011-06-22,  ,30℃,24℃,阴~雷阵雨,无持续风向 微风
北京,海淀,2011-06-23,  ,28℃,19℃,中雨~中到大雨,无持续风向 微风
北京,海淀,2011-06-24,  ,26℃,19℃,阴~多云,无持续风向 微风
北京,海淀,2011-06-25,  ,31℃,19℃,晴,无持续风向 微风
北京,海淀,2011-06-26,  ,32℃,20℃,晴~多云,无持续风向 微风
北京,海淀,2011-06-27,  ,32℃,21℃,多云~阴,无持续风向 微风
北京,海淀,2011-06-28,  ,32℃,22℃,晴,无持续风向 微风
北京,海淀,2011-06-29,  ,30℃,23℃,多云~阵雨,无持续风向 微风
北京,海淀,2011-06-30,  ,30℃,23℃,多云~阵雨,无持续风向 微风
北京,海淀,2011-07-01,  ,27℃,21℃,小雨~中到大雨,无持续风向 微风
北京,海淀,2011-07-02,  ,28℃,22℃,小到中雨~小雨,无持续风向 微风
北京,海淀,2011-07-03,  ,33℃,22℃,晴,无持续风向 微风
北京,海淀,2011-07-04,  ,35℃,23℃,多云,无持续风向 微风
北京,海淀,2011-07-05,  ,33℃,25℃,阴~多云,无持续风向 微风
北京,海淀,2011-07-06,  ,32℃,21℃,阴~中雨,无持续风向 微风
北京,海淀,2011-07-07,  ,32℃,20℃,雷阵雨,无持续风向 微风
北京,海淀,2011-07-08,  ,33℃,22℃,多云~晴,无持续风向 微风
北京,海淀,2011-07-09,  ,35℃,22℃,晴,无持续风向 微风
北京,海淀,2011-07-10,  ,32℃,23℃,阴,无持续风向 微风
北京,海淀,2011-07-11,  ,33℃,22℃,多云~雷阵雨,无持续风向 微风
北京,海淀,2011-07-12,  ,31℃,23℃,阴~阵雨,无持续风向 微风
北京,海淀,2011-07-13,  ,32℃,24℃,多云~雷阵雨,无持续风向 微风
北京,海淀,2011-07-14,  ,31℃,22℃,雷阵雨,无持续风向 微风
北京,海淀,2011-07-15,  ,32℃,22℃,雷阵雨,无持续风向 微风
北京,海淀,2011-07-16,  ,31℃,22℃,多云~雷阵雨,无持续风向 微风
北京,海淀,2011-07-17,  ,30℃,20℃,小到中雨~中雨,无持续风向 微风
北京,海淀,2011-07-18,  ,28℃,21℃,阵雨,无持续风向 微风
北京,海淀,2011-07-19,  ,29℃,21℃,雷阵雨~阵雨,无持续风向 微风
北京,海淀,2011-07-20,  ,28℃,21℃,阵雨,无持续风向 微风
北京,海淀,2011-07-21,  ,29℃,22℃,雷阵雨,无持续风向 微风
北京,海淀,2011-07-22,  ,31℃,24℃,雷阵雨~晴,无持续风向 微风
北京,海淀,2011-07-23,  ,32℃,25℃,雾~多云,无持续风向 微风
北京,海淀,2011-07-24,  ,31℃,22℃,大雨~大到暴雨,无持续风向 微风
北京,海淀,2011-07-25,  ,30℃,24℃,阵雨~晴,无持续风向 微风
北京,海淀,2011-07-26,  ,35℃,25℃,晴~多云,无持续风向 微风
北京,海淀,2011-07-27,  ,33℃,25℃,阴~雷阵雨,无持续风向 微风
北京,海淀,2011-07-28,  ,32℃,26℃,阴~多云,无持续风向 微风
北京,海淀,2011-07-29,  ,27℃,23℃,大雨~中雨,无持续风向 微风
北京,海淀,2011-07-30,  ,33℃,23℃,晴,无持续风向 微风
北京,海淀,2011-07-31,  ,35℃,24℃,晴~雷阵雨,无持续风向 微风
北京,海淀,2011-08-01,  ,35℃,25℃,晴~阴,无持续风向 微风
北京,海淀,2011-08-02,  ,32℃,24℃,多云~阴,无持续风向 微风
北京,海淀,2011-08-03,  ,33℃,22℃,晴,无持续风向 微风
北京,海淀,2011-08-04,  ,33℃,23℃,晴,无持续风向 微风
北京,海淀,2011-08-05,  ,31℃,24℃,多云,无持续风向 微风
北京,海淀,2011-08-06,  ,31℃,23℃,雷阵雨,无持续风向 微风
北京,海淀,2011-08-07,  ,31℃,24℃,多云,无持续风向 微风
北京,海淀,2011-08-08,  ,34℃,24℃,多云,无持续风向 微风
北京,海淀,2011-08-09,  ,35℃,24℃,雷阵雨~晴,无持续风向 微风
北京,海淀,2011-08-10,  ,33℃,24℃,多云,无持续风向 微风
北京,海淀,2011-08-11,  ,33℃,25℃,多云~晴,无持续风向 微风
北京,海淀,2011-08-12,  ,33℃,24℃,多云~晴,无持续风向 微风
北京,海淀,2011-08-13,  ,31℃,24℃,阴~雷阵雨,无持续风向 微风
北京,海淀,2011-08-14,  ,30℃,21℃,中雨~大到暴雨,无持续风向 微风
北京,海淀,2011-08-15,  ,27℃,22℃,阵雨~中雨,无持续风向 微风
北京,海淀,2011-08-16,  ,32℃,23℃,晴,无持续风向 微风
北京,海淀,2011-08-17,  ,31℃,22℃,雷阵雨~多云,无持续风向 微风
北京,海淀,2011-08-18,  ,29℃,20℃,多云,无持续风向 微风
北京,海淀,2011-08-19,  ,29℃,20℃,多云,无持续风向 微风
北京,海淀,2011-08-20,  ,31℃,20℃,晴,无持续风向 微风
北京,海淀,2011-08-21,  ,31℃,21℃,晴,无持续风向 微风
北京,海淀,2011-08-22,  ,30℃,20℃,晴,无持续风向 微风
北京,海淀,2011-08-23,  ,30℃,20℃,多云,无持续风向 微风
北京,海淀,2011-08-24,  ,29℃,20℃,多云~阵雨,无持续风向 微风
北京,海淀,2011-08-25,  ,27℃,20℃,阵雨,无持续风向 微风
北京,海淀,2011-08-26,  ,27℃,20℃,雷阵雨~阵雨,无持续风向 微风
北京,海淀,2011-08-27,  ,28℃,20℃,雷阵雨~阴,无持续风向 微风
北京,海淀,2011-08-28,  ,30℃,20℃,多云~晴,无持续风向 微风
北京,海淀,2011-08-29,  ,30℃,21℃,多云~晴,无持续风向 微风
北京,海淀,2011-08-30,  ,31℃,22℃,晴~多云,无持续风向 微风
北京,海淀,2011-08-31,  ,31℃,20℃,雷阵雨~中雨,无持续风向 微风
北京,海淀,2011-09-01,  ,28℃,19℃,多云~晴,无持续风向 微风
北京,海淀,2011-09-02,  ,29℃,20℃,多云~阵雨,无持续风向 微风
北京,海淀,2011-09-03,  ,27℃,18℃,阴~多云,无持续风向 微风
北京,海淀,2011-09-04,  ,29℃,19℃,晴,无持续风向 微风
北京,海淀,2011-09-05,  ,30℃,20℃,晴,无持续风向 微风
北京,海淀,2011-09-06,  ,29℃,21℃,多云~阴,无持续风向 微风
北京,海淀,2011-09-07,  ,26℃,18℃,阴~多云,无持续风向 微风
北京,海淀,2011-09-08,  ,24℃,17℃,阴~阵雨,无持续风向 微风
北京,海淀,2011-09-09,  ,24℃,15℃,晴~阴,无持续风向 微风
北京,海淀,2011-09-10,  ,17℃,14℃,小雨,无持续风向 微风
北京,海淀,2011-09-11,  ,24℃,17℃,晴~多云,无持续风向 微风
北京,海淀,2011-09-12,  ,21℃,16℃,阴~多云,无持续风向 微风
北京,海淀,2011-09-13,  ,23℃,18℃,多云,无持续风向 微风
北京,海淀,2011-09-14,  ,24℃,17℃,多云,无持续风向 微风
北京,海淀,2011-09-15,  ,25℃,17℃,多云~小雨,无持续风向 微风
北京,海淀,2011-09-16,  ,24℃,14℃,阴~多云,北风 3-4级
北京,海淀,2011-09-17,  ,20℃,12℃,多云~晴,无持续风向 微风
北京,海淀,2011-09-18,  ,21℃,10℃,多云~晴,无持续风向 微风
北京,海淀,2011-09-19,  ,22℃,11℃,晴,无持续风向 微风
北京,海淀,2011-09-20,  ,24℃,12℃,晴~多云,无持续风向 微风
北京,海淀,2011-09-21,  ,27℃,11℃,晴,无持续风向 微风
北京,海淀,2011-09-22,  ,28℃,12℃,晴,无持续风向 微风
北京,海淀,2011-09-23,  ,26℃,13℃,晴,无持续风向 微风
北京,海淀,2011-09-24,  ,27℃,14℃,晴~多云,无持续风向 微风
北京,海淀,2011-09-25,  ,27℃,15℃,晴,无持续风向 微风
北京,海淀,2011-09-26,  ,26℃,16℃,晴~多云,无持续风向 微风
北京,海淀,2011-09-27,  ,25℃,17℃,多云~阴,无持续风向 微风
北京,海淀,2011-09-28,  ,22℃,16℃,小雨~多云,无持续风向~北风 微风~3-4级
北京,海淀,2011-09-29,  ,22℃,11℃,多云~晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-09-30,  ,21℃,10℃,晴,无持续风向 微风
北京,海淀,2011-10-01,  ,21℃,10℃,晴,无持续风向 微风
北京,海淀,2011-10-02,  ,21℃,8℃,晴,无持续风向 微风
北京,海淀,2011-10-03,  ,21℃,8℃,晴,无持续风向 微风
北京,海淀,2011-10-04,  ,21℃,12℃,多云~阴,无持续风向 微风
北京,海淀,2011-10-05,  ,25℃,9℃,晴,无持续风向 微风
北京,海淀,2011-10-06,  ,24℃,11℃,晴,无持续风向 微风
北京,海淀,2011-10-07,  ,24℃,12℃,晴,无持续风向 微风
北京,海淀,2011-10-08,  ,23℃,13℃,多云~阴,无持续风向 微风
北京,海淀,2011-10-09,  ,23℃,10℃,多云~晴,无持续风向 微风
北京,海淀,2011-10-10,  ,22℃,13℃,多云,无持续风向 微风
北京,海淀,2011-10-11,  ,23℃,14℃,多云,无持续风向 微风
北京,海淀,2011-10-12,  ,20℃,13℃,阴~小雨,无持续风向 微风
北京,海淀,2011-10-13,  ,20℃,11℃,晴~多云,无持续风向 微风
北京,海淀,2011-10-14,  ,19℃,11℃,多云~晴,北风 3-4级~4-5级
北京,海淀,2011-10-15,  ,20℃,8℃,晴,北风 4-5级~3-4级
北京,海淀,2011-10-16,  ,22℃,7℃,晴,无持续风向 微风
北京,海淀,2011-10-17,  ,20℃,9℃,晴,无持续风向 微风
北京,海淀,2011-10-18,  ,20℃,10℃,晴,无持续风向 微风
北京,海淀,2011-10-19,  ,19℃,12℃,多云~阴,无持续风向 微风
北京,海淀,2011-10-20,  ,18℃,12℃,雾,无持续风向 微风
北京,海淀,2011-10-21,  ,18℃,12℃,多云~雾,无持续风向 微风
北京,海淀,2011-10-22,  ,20℃,13℃,多云~阴,无持续风向 微风
北京,海淀,2011-10-23,  ,16℃,6℃,小雨~晴,北风 4-5级
北京,海淀,2011-10-24,  ,15℃,3℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-10-25,  ,16℃,5℃,晴~多云,无持续风向 微风
北京,海淀,2011-10-26,  ,13℃,5℃,小雨~阴,无持续风向 微风
北京,海淀,2011-10-27,  ,16℃,4℃,晴,无持续风向 微风
北京,海淀,2011-10-28,  ,16℃,6℃,晴~多云,无持续风向 微风
北京,海淀,2011-10-29,  ,17℃,7℃,晴,无持续风向 微风
北京,海淀,2011-10-30,  ,15℃,8℃,雾,无持续风向 微风
北京,海淀,2011-10-31,  ,15℃,9℃,阴~小雨,无持续风向 微风
北京,海淀,2011-11-01,  ,16℃,8℃,小雨~阴,无持续风向 微风
北京,海淀,2011-11-02,  ,16℃,8℃,多云,无持续风向 微风
北京,海淀,2011-11-03,  ,14℃,9℃,阴~小雨,无持续风向 微风
北京,海淀,2011-11-04,  ,14℃,7℃,小雨~多云,无持续风向 微风
北京,海淀,2011-11-05,  ,14℃,6℃,阴~多云,无持续风向 微风
北京,海淀,2011-11-06,  ,13℃,8℃,阴~多云,无持续风向 微风
北京,海淀,2011-11-07,  ,14℃,8℃,多云,无持续风向 微风
北京,海淀,2011-11-08,  ,15℃,4℃,阴,无持续风向 微风
北京,海淀,2011-11-09,  ,15℃,2℃,晴,无持续风向 微风
北京,海淀,2011-11-10,  ,16℃,3℃,晴~多云,无持续风向 微风
北京,海淀,2011-11-11,  ,13℃,7℃,多云,无持续风向 微风
北京,海淀,2011-11-12,  ,16℃,1℃,晴,北风 3-4级
北京,海淀,2011-11-13,  ,12℃,1℃,晴,无持续风向 微风
北京,海淀,2011-11-14,  ,13℃,1℃,晴,无持续风向 微风
北京,海淀,2011-11-15,  ,12℃,4℃,晴~多云,无持续风向 微风
北京,海淀,2011-11-16,  ,11℃,6℃,阴~小雨,无持续风向 微风
北京,海淀,2011-11-17,  ,9℃,5℃,小雨~阴,无持续风向 微风
北京,海淀,2011-11-18,  ,14℃,3℃,多云,无持续风向~北风 微风~3-4级
北京,海淀,2011-11-19,  ,8℃,-3℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-11-20,  ,8℃,-3℃,晴,无持续风向 微风
北京,海淀,2011-11-21,  ,9℃,1℃,晴~阴,无持续风向 微风
北京,海淀,2011-11-22,  ,12℃,-2℃,多云~晴,北风 4-5级
北京,海淀,2011-11-23,  ,7℃,-3℃,晴,无持续风向 微风
北京,海淀,2011-11-24,  ,6℃,-3℃,多云~晴,无持续风向 微风
北京,海淀,2011-11-25,  ,5℃,-1℃,晴~多云,无持续风向 微风
北京,海淀,2011-11-26,  ,7℃,0℃,多云~晴,无持续风向 微风
北京,海淀,2011-11-27,  ,10℃,0℃,多云,无持续风向 微风
北京,海淀,2011-11-28,  ,10℃,-1℃,晴~小雪,无持续风向 微风
北京,海淀,2011-11-29,  ,4℃,-4℃,阴~多云,无持续风向 微风
北京,海淀,2011-11-30,  ,6℃,-5℃,晴,无持续风向 微风
北京,海淀,2011-12-01,  ,4℃,-2℃,晴~阴,无持续风向 微风
北京,海淀,2011-12-02,  ,3℃,-4℃,小雪~多云,无持续风向 微风
北京,海淀,2011-12-03,  ,5℃,-5℃,晴,无持续风向 微风
北京,海淀,2011-12-04,  ,4℃,-4℃,晴~多云,无持续风向 微风
北京,海淀,2011-12-05,  ,2℃,-1℃,小雪,无持续风向 微风
北京,海淀,2011-12-06,  ,3℃,-2℃,小雪,无持续风向~北风 微风~3-4级
北京,海淀,2011-12-07,  ,6℃,-5℃,多云~晴,北风 3-4级
北京,海淀,2011-12-08,  ,0℃,-8℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-12-09,  ,1℃,-5℃,晴,无持续风向~北风 微风~3-4级
北京,海淀,2011-12-10,  ,5℃,-5℃,晴,北风~无持续风向 3-4级~微风
北京,海淀,2011-12-11,  ,8℃,-4℃,晴,无持续风向 微风
北京,海淀,2011-12-12,  ,7℃,-3℃,晴~多云,无持续风向 微风
北京,海淀,2011-12-13,  ,4℃,-4℃,多云~晴,无持续风向~北风 微风~3-4级
北京,海淀,2011-12-14,  ,1℃,-6℃,晴,北风 4-5级~3-4级
北京,海淀,2011-12-15,  ,0℃,-8℃,晴,北风 4-5级
北京,海淀,2011-12-16,  ,1℃,-8℃,晴,无持续风向 微风
北京,海淀,2011-12-17,  ,3℃,-9℃,晴,无持续风向 微风
北京,海淀,2011-12-18,  ,2℃,-7℃,晴~多云,无持续风向 微风
北京,海淀,2011-12-19,  ,2℃,-5℃,多云,无持续风向 微风
北京,海淀,2011-12-20,  ,3℃,-4℃,晴~多云,无持续风向~北风 微风~3-4级
北京,海淀,2011-12-21,  ,3℃,-7℃,晴,北风 4-5级~3-4级
