,日期,星期,最高温度,最低温度,天气,风向
63,2019-03-05, 星期二 ,17℃,10℃,阴,东南风 2级
64,2019-03-06, 星期三 ,15℃,9℃,多云,东风 2级
65,2019-03-07, 星期四 ,11℃,8℃,小雨,东北风 2级
66,2019-03-08, 星期五 ,10℃,8℃,晴,东北风 2级
67,2019-03-09, 星期六 ,16℃,8℃,晴,西南风 2级
68,2019-03-10, 星期日 ,16℃,8℃,晴,西北风 1级
69,2019-03-11, 星期一 ,17℃,9℃,晴,西风 2级
70,2019-03-12, 星期二 ,17℃,11℃,多云,北风 2级
71,2019-03-13, 星期三 ,17℃,11℃,晴,东北风 2级
72,2019-03-14, 星期四 ,17℃,9℃,晴,西风 2级
73,2019-03-15, 星期五 ,17℃,11℃,小雨,西南风 2级
74,2019-03-16, 星期六 ,15℃,10℃,小雨,西南风 2级
75,2019-03-17, 星期日 ,16℃,10℃,晴,西南风 1级
76,2019-03-18, 星期一 ,17℃,10℃,晴,西风 2级
77,2019-03-19, 星期二 ,16℃,12℃,晴,北风 2级
78,2019-03-20, 星期三 ,24℃,12℃,晴,西北风 2级
79,2019-03-21, 星期四 ,18℃,12℃,晴,东北风 2级
80,2019-03-22, 星期五 ,16℃,10℃,晴,东南风 2级
81,2019-03-23, 星期六 ,16℃,10℃,小雨,南风 2级
82,2019-03-24, 星期日 ,15℃,8℃,晴,南风 1级
83,2019-03-25, 星期一 ,18℃,7℃,晴,西南风 1级
84,2019-03-26, 星期二 ,19℃,11℃,晴,西风 1级
85,2019-03-27, 星期三 ,22℃,12℃,晴,北风 2级
86,2019-03-28, 星期四 ,27℃,13℃,晴,西南风 2级
87,2019-03-29, 星期五 ,26℃,13℃,多云,东北风 2级
88,2019-03-30, 星期六 ,23℃,14℃,晴,东北风 3级
89,2019-03-31, 星期日 ,22℃,13℃,多云,东南风 2级
90,2019-04-01, 星期一 ,16℃,12℃,小雨,南风 2级
91,2019-04-02, 星期二 ,20℃,14℃,多云,东风 2级
92,2019-04-03, 星期三 ,20℃,12℃,晴,东风 2级
93,2019-04-04, 星期四 ,22℃,12℃,晴,西南风 2级
94,2019-04-05, 星期五 ,27℃,14℃,晴,南风 2级
95,2019-04-06, 星期六 ,28℃,14℃,晴,南风 2级
96,2019-04-07, 星期日 ,30℃,15℃,晴,东北风 2级
97,2019-04-08, 星期一 ,29℃,17℃,小雨,东北风 3级
98,2019-04-09, 星期二 ,31℃,19℃,多云,东北风 2级
99,2019-04-10, 星期三 ,23℃,16℃,阴,东北风 2级
100,2019-04-11, 星期四 ,23℃,15℃,阴,西北风 2级
101,2019-04-12, 星期五 ,22℃,16℃,晴,东北风 2级
102,2019-04-13, 星期六 ,22℃,16℃,小雨,北风 2级
103,2019-04-14, 星期日 ,24℃,14℃,多云,东风 2级
104,2019-04-15, 星期一 ,21℃,14℃,晴,东风 2级
105,2019-04-16, 星期二 ,26℃,14℃,晴,南风 2级
106,2019-04-17, 星期三 ,25℃,16℃,晴,北风 2级
107,2019-04-18, 星期四 ,27℃,17℃,晴,北风 2级
108,2019-04-19, 星期五 ,25℃,20℃,多云转雨,北风 2级
109,2019-04-20, 星期六 ,24℃,17℃,晴转多云,北风 3级
110,2019-04-21, 星期日 ,28℃,18℃,晴转多云,东风 2级
111,2019-04-22, 星期一 ,28℃,17℃,晴转多云,东风 2级
112,2019-04-23, 星期二 ,30℃,19℃,晴转多云,东风 2级
113,2019-04-24, 星期三 ,31℃,19℃,晴转多云,东北风 2级
114,2019-04-25, 星期四 ,32℃,20℃,晴转多云,南风 2级
115,2019-04-26, 星期五 ,30℃,23℃,多云转雨,东北风 2级
116,2019-04-27, 星期六 ,28℃,18℃,小雨到中雨,东北风 3级
117,2019-04-28, 星期日 ,24℃,18℃,晴转多云,东北风 2级
118,2019-04-29, 星期一 ,28℃,16℃,多云转阴,东南风 2级
119,2019-04-30, 星期二 ,28℃,17℃,晴,南风 2级
120,2019-05-01, 星期三 ,25℃,17℃,阴转雨,北风 2级
121,2019-05-02, 星期四 ,22℃,17℃,多云,南风 2级
122,2019-05-03, 星期五 ,21℃,17℃,多云,东北风 2级
123,2019-05-04, 星期六 ,23℃,17℃,小雨转雨,西北风 2级
124,2019-05-05, 星期日 ,21℃,17℃,阴转雨,东北风 2级
125,2019-05-06, 星期一 ,18℃,15℃,小雨到大雨,东北风 3级
126,2019-05-07, 星期二 ,16℃,13℃,晴转多云,东北风 3级
127,2019-05-08, 星期三 ,21℃,13℃,小雨转雨,西南风 2级
128,2019-05-09, 星期四 ,27℃,16℃,晴转多云,西南风 2级
129,2019-05-10, 星期五 ,26℃,16℃,晴转多云,西南风 2级
130,2019-05-11, 星期六 ,26℃,18℃,中雨转雨,西风 2级
131,2019-05-12, 星期日 ,24℃,15℃,小雨到中雨,北风 2级
132,2019-05-13, 星期一 ,26℃,15℃,阴转雨,东北风 2级
133,2019-05-14, 星期二 ,25℃,18℃,中雨转雨,东北风 1级
134,2019-05-15, 星期三 ,28℃,19℃,晴转多云,东北风 2级
135,2019-05-16, 星期四 ,27℃,20℃,晴,东北风 2级
136,2019-05-17, 星期五 ,29℃,20℃,多云,南风 1级
137,2019-05-18, 星期六 ,29℃,21℃,多云转雨,东北风 2级
138,2019-05-19, 星期日 ,23℃,19℃,晴转多云,北风 2级
139,2019-05-20, 星期一 ,21℃,16℃,阴转多云,南风 2级
140,2019-05-21, 星期二 ,26℃,16℃,晴转多云,东南风 2级
141,2019-05-22, 星期三 ,30℃,19℃,晴转多云,南风 2级
142,2019-05-23, 星期四 ,30℃,18℃,晴转多云,东风 1级
143,2019-05-24, 星期五 ,27℃,21℃,晴转多云,南风 2级
144,2019-05-25, 星期六 ,30℃,20℃,晴转多云,东南风 2级
145,2019-05-26, 星期日 ,32℃,22℃,晴转多云,东北风 2级
146,2019-05-27, 星期一 ,24℃,18℃,多云转雨,东北风 3级
147,2019-05-28, 星期二 ,19℃,15℃,多云,东风 2级
148,2019-05-29, 星期三 ,19℃,16℃,多云,东风 1级
149,2019-05-30, 星期四 ,26℃,16℃,晴转多云,西南风 2级
150,2019-05-31, 星期五 ,27℃,20℃,晴转多云,东风 2级
151,2019-06-01, 星期六 ,30℃,19℃,晴,西南风 2级
152,2019-06-02, 星期日 ,32℃,20℃,晴,南风 2级
153,2019-06-03, 星期一 ,32℃,21℃,晴,东风 2级
154,2019-06-04, 星期二 ,31℃,22℃,阴转雨,东北风 2级
155,2019-06-05, 星期三 ,31℃,21℃,晴转多云,东北风 3级
156,2019-06-06, 星期四 ,32℃,22℃,晴转多云,东风 2级
157,2019-06-07, 星期五 ,29℃,22℃,多云,东风 2级
158,2019-06-08, 星期六 ,30℃,22℃,晴转多云,东北风 2级
159,2019-06-09, 星期日 ,28℃,21℃,晴,东南风 2级
160,2019-06-10, 星期一 ,28℃,22℃,多云转雨,东风 2级
161,2019-06-11, 星期二 ,25℃,21℃,晴转多云,东北风 3级
162,2019-06-12, 星期三 ,31℃,20℃,晴,南风 2级
163,2019-06-13, 星期四 ,31℃,22℃,晴,东南风 2级
164,2019-06-14, 星期五 ,26℃,22℃,多云转雨,北风 2级
165,2019-06-15, 星期六 ,24℃,22℃,晴转多云,东北风 3级
166,2019-06-16, 星期日 ,26℃,21℃,阴,南风 2级
167,2019-06-17, 星期一 ,26℃,21℃,晴转多云,东风 1级
168,2019-06-18, 星期二 ,27℃,21℃,晴转多云,东风 1级
169,2019-06-19, 星期三 ,26℃,21℃,多云转阴,东风 2级
170,2019-06-20, 星期四 ,28℃,23℃,晴转多云,东风 1级
171,2019-06-21, 星期五 ,29℃,24℃,阴转雨,东北风 2级
172,2019-06-22, 星期六 ,26℃,24℃,多云,东北风 3级
173,2019-06-23, 星期日 ,28℃,20℃,阴,东北风 2级
174,2019-06-24, 星期一 ,25℃,21℃,多云转雨,东北风 2级
175,2019-06-25, 星期二 ,26℃,21℃,阴,南风 1级
176,2019-06-26, 星期三 ,26℃,22℃,多云,东风 2级
177,2019-06-27, 星期四 ,25℃,21℃,阴,东北风 2级
178,2019-06-28, 星期五 ,27℃,23℃,晴转多云,西风 2级
179,2019-06-29, 星期六 ,30℃,22℃,晴转多云,东南风 2级
180,2019-06-30, 星期日 ,30℃,22℃,晴,东南风 2级
181,2019-07-01, 星期一 ,33℃,24℃,晴转多云,东南风 2级
182,2019-07-02, 星期二 ,31℃,23℃,晴转多云,东风 2级
183,2019-07-03, 星期三 ,28℃,22℃,多云转雨,西北风 2级
184,2019-07-04, 星期四 ,28℃,22℃,晴转多云,西南风 2级
185,2019-07-05, 星期五 ,30℃,21℃,晴转多云,南风 2级
186,2019-07-06, 星期六 ,33℃,23℃,晴转多云,南风 1级
187,2019-07-07, 星期日 ,26℃,22℃,小雨转雨,南风 2级
188,2019-07-08, 星期一 ,27℃,21℃,阴转雨,东风 2级
189,2019-07-09, 星期二 ,31℃,22℃,晴转多云,南风 2级
190,2019-07-10, 星期三 ,30℃,23℃,阴转雨,南风 2级
191,2019-07-11, 星期四 ,25℃,21℃,阴,北风 2级
192,2019-07-12, 星期五 ,31℃,22℃,晴转多云,西风 2级
193,2019-07-13, 星期六 ,33℃,24℃,晴转多云,西南风 2级
194,2019-07-14, 星期日 ,33℃,23℃,多云转阴,西南风 1级
195,2019-07-15, 星期一 ,26℃,22℃,阴转雨,西北风 1级
196,2019-07-16, 星期二 ,25℃,22℃,晴转多云,东北风 2级
197,2019-07-17, 星期三 ,29℃,23℃,多云,东北风 2级
198,2019-07-18, 星期四 ,32℃,24℃,多云转雨,东北风 1级
199,2019-07-19, 星期五 ,29℃,24℃,多云,东北风 2级
200,2019-07-20, 星期六 ,33℃,24℃,多云转阴,东南风 1级
201,2019-07-21, 星期日 ,32℃,25℃,多云转雨,东南风 1级
202,2019-07-22, 星期一 ,27℃,24℃,阴,北风 2级
203,2019-07-23, 星期二 ,31℃,24℃,多云,东南风 2级
204,2019-07-24, 星期三 ,31℃,24℃,阴,西北风 1级
205,2019-07-25, 星期四 ,34℃,23℃,晴转多云,南风 2级
206,2019-07-26, 星期五 ,32℃,24℃,多云转雨,南风 2级
207,2019-07-27, 星期六 ,33℃,26℃,小雨到中雨,东风 2级
208,2019-07-28, 星期日 ,33℃,25℃,阴转雨,东北风 2级
209,2019-07-29, 星期一 ,29℃,24℃,多云转雨,东北风 2级
210,2019-07-30, 星期二 ,31℃,23℃,多云,东南风 2级
211,2019-07-31, 星期三 ,31℃,23℃,多云,东南风 1级
212,2019-08-01, 星期四 ,32℃,23℃,多云转雨,东风 2级
213,2019-08-02, 星期五 ,32℃,24℃,多云转雨,东北风 2级
214,2019-08-03, 星期六 ,29℃,23℃,多云转晴,东南风 2级
215,2019-08-04, 星期日 ,33℃,23℃,阴转雨,东风 1级
216,2019-08-05, 星期一 ,29℃,22℃,多云转雨,北风 3级
217,2019-08-06, 星期二 ,26℃,22℃,晴,东北风 2级
218,2019-08-07, 星期三 ,34℃,22℃,晴转多云,东南风 1级
219,2019-08-08, 星期四 ,32℃,24℃,阴,东北风 2级
220,2019-08-09, 星期五 ,33℃,24℃,晴,西北风 1级
221,2019-08-10, 星期六 ,33℃,24℃,晴,西风 2级
222,2019-08-11, 星期日 ,33℃,25℃,晴,东风 2级
223,2019-08-12, 星期一 ,33℃,25℃,晴,东南风 2级
224,2019-08-13, 星期二 ,36℃,25℃,晴转多云,北风 2级
225,2019-08-14, 星期三 ,35℃,26℃,晴,西风 2级
226,2019-08-15, 星期四 ,33℃,24℃,晴,南风 2级
227,2019-08-16, 星期五 ,34℃,24℃,晴,东南风 2级
228,2019-08-17, 星期六 ,35℃,25℃,晴转多云,东南风 2级
229,2019-08-18, 星期日 ,33℃,26℃,多云转阴,东北风 2级
230,2019-08-19, 星期一 ,29℃,24℃,阴转雨,东北风 2级
231,2019-08-20, 星期二 ,32℃,24℃,晴转雨,东北风 3级
232,2019-08-21, 星期三 ,32℃,24℃,多云,北风 2级
233,2019-08-22, 星期四 ,32℃,23℃,多云转雨,东北风 2级
234,2019-08-23, 星期五 ,33℃,24℃,晴转多云,东风 2级
235,2019-08-24, 星期六 ,34℃,24℃,晴,东北风 2级
236,2019-08-25, 星期日 ,35℃,25℃,晴转多云,东北风 2级
237,2019-08-26, 星期一 ,33℃,26℃,阴转雨,东北风 2级
238,2019-08-27, 星期二 ,33℃,24℃,晴转多云,北风 2级
239,2019-08-28, 星期三 ,33℃,23℃,小雨转多云,东北风 2级
240,2019-08-29, 星期四 ,33℃,22℃,晴转多云,东南风 2级
241,2019-08-30, 星期五 ,31℃,22℃,多云转雨,东北风 2级
242,2019-08-31, 星期六 ,24℃,21℃,多云转雨,南风 1级
243,2019-09-01, 星期日 ,26℃,20℃,阴转多云,东南风 1级
244,2019-09-02, 星期一 ,24℃,20℃,阴转雨,北风 2级
245,2019-09-03, 星期二 ,22℃,20℃,多云转雨,东北风 2级
246,2019-09-04, 星期三 ,24℃,20℃,阴,东北风 2级
247,2019-09-05, 星期四 ,25℃,21℃,晴转多云,东北风 1级
248,2019-09-06, 星期五 ,27℃,22℃,多云转雨,东北风 2级
249,2019-09-07, 星期六 ,25℃,22℃,多云转雨,北风 2级
250,2019-09-08, 星期日 ,25℃,22℃,多云,东北风 3级
251,2019-09-09, 星期一 ,27℃,22℃,阴转雨,东北风 2级
252,2019-09-10, 星期二 ,24℃,22℃,阴,东北风 3级
253,2019-09-11, 星期三 ,26℃,21℃,小雨到中雨,东北风 2级
254,2019-09-12, 星期四 ,27℃,23℃,阴转雨,东北风 2级
255,2019-09-13, 星期五 ,23℃,15℃,多云转雨,东北风 4级
256,2019-09-14, 星期六 ,21℃,17℃,多云转雨,东风 1级
257,2019-09-15, 星期日 ,21℃,17℃,多云,南风 1级
258,2019-09-16, 星期一 ,23℃,18℃,多云转雨,东风 1级
259,2019-09-17, 星期二 ,23℃,18℃,晴转多云,东南风 1级
260,2019-09-18, 星期三 ,25℃,18℃,多云,东风 2级
261,2019-09-19, 星期四 ,21℃,18℃,晴转多云,东风 1级
262,2019-09-20, 星期五 ,25℃,18℃,晴转多云,西南风 2级
263,2019-09-21, 星期六 ,29℃,18℃,晴转多云,东南风 2级
264,2019-09-22, 星期日 ,28℃,18℃,晴转多云,东南风 2级
265,2019-09-23, 星期一 ,24℃,19℃,阴转雨,北风 2级
266,2019-09-24, 星期二 ,22℃,18℃,晴转多云,西南风 2级
267,2019-09-25, 星期三 ,25℃,16℃,晴,南风 2级
268,2019-09-26, 星期四 ,24℃,16℃,晴转多云,西南风 1级
269,2019-09-27, 星期五 ,25℃,18℃,晴转多云,南风 1级
270,2019-09-28, 星期六 ,26℃,18℃,晴转多云,东南风 1级
271,2019-09-29, 星期日 ,27℃,19℃,多云,东北风 2级
272,2019-09-30, 星期一 ,27℃,20℃,阴转雨,东北风 2级
273,2019-10-01, 星期二 ,24℃,20℃,多云,东北风 2级
274,2019-10-02, 星期三 ,25℃,19℃,阴,北风 2级
275,2019-10-03, 星期四 ,23℃,19℃,多云转阴,东北风 2级
276,2019-10-04, 星期五 ,24℃,19℃,晴转多云,北风 2级
277,2019-10-05, 星期六 ,24℃,19℃,阴,东南风 1级
278,2019-10-06, 星期日 ,21℃,18℃,晴转多云,东北风 2级
279,2019-10-07, 星期一 ,23℃,18℃,晴转雨,东风 1级
280,2019-10-08, 星期二 ,21℃,17℃,多云,东南风 1级
281,2019-10-09, 星期三 ,21℃,16℃,晴转多云,东北风 1级
282,2019-10-10, 星期四 ,23℃,17℃,多云,南风 1级
283,2019-10-11, 星期五 ,25℃,17℃,晴转多云,东南风 2级
284,2019-10-12, 星期六 ,24℃,17℃,晴,东南风 2级
285,2019-10-13, 星期日 ,22℃,17℃,晴转多云,东风 2级
286,2019-10-14, 星期一 ,20℃,16℃,多云转雨,东风 2级
287,2019-10-15, 星期二 ,17℃,15℃,多云,东北风 2级
288,2019-10-16, 星期三 ,21℃,15℃,阴转雨,东北风 1级
289,2019-10-17, 星期四 ,22℃,15℃,晴转多云,南风 2级
290,2019-10-18, 星期五 ,21℃,15℃,阴,南风 2级
291,2019-10-19, 星期六 ,21℃,15℃,中雨转雨,东风 2级
292,2019-10-20, 星期日 ,22℃,17℃,多云转雨,西风 2级
293,2019-10-21, 星期一 ,18℃,16℃,多云转雨,东南风 1级
294,2019-10-22, 星期二 ,21℃,16℃,晴转多云,东风 2级
295,2019-10-23, 星期三 ,20℃,16℃,阴转雨,东风 2级
296,2019-10-24, 星期四 ,18℃,10℃,小雨到中雨,东北风 3级
297,2019-10-25, 星期五 ,15℃,12℃,小雨转雨,东北风 2级
298,2019-10-26, 星期六 ,15℃,11℃,阴,南风 2级
299,2019-10-27, 星期日 ,17℃,12℃,晴转多云,南风 1级
300,2019-10-28, 星期一 ,22℃,13℃,晴,南风 2级
301,2019-10-29, 星期二 ,20℃,12℃,晴转多云,东风 1级
302,2019-10-30, 星期三 ,21℃,13℃,多云转阴,东风 1级
303,2019-10-31, 星期四 ,17℃,14℃,阴转雨,东北风 2级
304,2019-11-01, 星期五 ,18℃,14℃,阴,东北风 2级
305,2019-11-02, 星期六 ,22℃,14℃,晴,东南风 1级
306,2019-11-03, 星期日 ,20℃,14℃,多云,东风 1级
307,2019-11-04, 星期一 ,18℃,15℃,阴转雨,东风 1级
308,2019-11-05, 星期二 ,15℃,14℃,多云转阴,东北风 2级
309,2019-11-06, 星期三 ,18℃,12℃,晴转多云,东北风 1级
310,2019-11-07, 星期四 ,19℃,12℃,多云转雨,东南风 2级
311,2019-11-08, 星期五 ,18℃,14℃,多云,东南风 2级
312,2019-11-09, 星期六 ,17℃,13℃,多云,东北风 2级
313,2019-11-10, 星期日 ,20℃,12℃,多云,南风 2级
314,2019-11-11, 星期一 ,18℃,14℃,多云,东风 1级
315,2019-11-12, 星期二 ,17℃,13℃,多云,东北风 2级
316,2019-11-13, 星期三 ,17℃,10℃,晴,东北风 2级
317,2019-11-14, 星期四 ,17℃,8℃,晴,东南风 2级
318,2019-11-15, 星期五 ,17℃,9℃,晴转多云,东北风 1级
319,2019-11-16, 星期六 ,16℃,10℃,晴转多云,东风 1级
320,2019-11-17, 星期日 ,15℃,11℃,小雨转多云,东北风 3级
321,2019-11-18, 星期一 ,12℃,8℃,晴转多云,西南风 2级
322,2019-11-19, 星期二 ,10℃,9℃,多云转阴,南风 1级
323,2019-11-20, 星期三 ,12℃,9℃,多云,东北风 1级
324,2019-11-21, 星期四 ,13℃,7℃,多云转阴,东南风 2级
325,2019-11-22, 星期五 ,13℃,9℃,多云,东南风 1级
326,2019-11-23, 星期六 ,16℃,10℃,阴,西南风 2级
327,2019-11-24, 星期日 ,12℃,9℃,晴转多云,东北风 2级
328,2019-11-25, 星期一 ,11℃,7℃,阴,南风 2级
329,2019-11-26, 星期二 ,10℃,8℃,小雨转雨,东风 2级
330,2019-11-27, 星期三 ,12℃,8℃,多云,东南风 2级
331,2019-11-28, 星期四 ,10℃,9℃,阴,东风 2级
332,2019-11-29, 星期五 ,9℃,8℃,小雨转雨,东北风 2级
333,2019-11-30, 星期六 ,10℃,6℃,晴转多云,东北风 3级
334,2019-12-01, 星期日 ,12℃,4℃,多云,东北风 1级
335,2019-12-02, 星期一 ,12℃,6℃,多云,东南风 2级
336,2019-12-03, 星期二 ,13℃,6℃,阴,东风 1级
337,2019-12-04, 星期三 ,12℃,7℃,多云转阴,东北风 1级
338,2019-12-05, 星期四 ,12℃,6℃,多云转晴,南风 1级
339,2019-12-06, 星期五 ,12℃,6℃,阴,南风 2级
340,2019-12-07, 星期六 ,12℃,8℃,多云,东南风 1级
341,2019-12-08, 星期日 ,13℃,7℃,晴,西南风 1级
342,2019-12-09, 星期一 ,14℃,6℃,霾转多云,南风 1级
343,2019-12-10, 星期二 ,14℃,6℃,晴,东南风 1级
344,2019-12-11, 星期三 ,13℃,6℃,霾转阴,东风 1级
345,2019-12-12, 星期四 ,12℃,7℃,多云,东风 1级
346,2019-12-13, 星期五 ,12℃,8℃,阴,东北风 2级
347,2019-12-14, 星期六 ,11℃,9℃,多云,东风 2级
348,2019-12-15, 星期日 ,13℃,9℃,多云,东风 2级
349,2019-12-16, 星期一 ,14℃,9℃,多云,东风 2级
350,2019-12-17, 星期二 ,13℃,10℃,阴转雨,北风 2级
351,2019-12-18, 星期三 ,11℃,7℃,多云,西南风 2级
352,2019-12-19, 星期四 ,10℃,6℃,阴转多云,东风 2级
353,2019-12-20, 星期五 ,9℃,5℃,多云转阴,东风 2级
354,2019-12-21, 星期六 ,10℃,6℃,晴转多云,东南风 1级
355,2019-12-22, 星期日 ,10℃,5℃,多云转阴,东风 1级
356,2019-12-23, 星期一 ,11℃,7℃,多云转阴,东南风 1级
357,2019-12-24, 星期二 ,10℃,8℃,阴,东风 2级
358,2019-12-25, 星期三 ,11℃,7℃,阴转多云,东北风 3级
359,2019-12-26, 星期四 ,9℃,5℃,晴,北风 2级
360,2019-12-27, 星期五 ,11℃,4℃,多云,南风 2级
361,2019-12-28, 星期六 ,10℃,4℃,多云转晴,东南风 1级
362,2019-12-29, 星期日 ,10℃,3℃,晴转多云,东风 1级
363,2019-12-30, 星期一 ,12℃,4℃,多云,东风 2级
364,2019-12-31, 星期二 ,10℃,7℃,阴,东风 1级
